date,reunion,course,hippodrome,course_nom,discipline,heure,num,cheval,statut,cote_reference,cote_directe,favori,source,maj
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,12,STOP THE ROCK,PARTANT,60,59,,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,13,VALLOIRE,PARTANT,"9,6","8,4",,pmu,2026-07-07 14:27
2026-07-07,R1,C7,CHANTILLY,DE FLEURUS,PLAT,17:48,14,TAJMAWAN,PARTANT,43,45,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,1,TI AMO BELLO,PARTANT,16,15,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,2,MODELE ABSOLU,PARTANT,16,15,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,3,ANDEOL,PARTANT,14,13,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,4,INGEBORG,PARTANT,"9,5","9,8",,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,5,ZELZARA,PARTANT,16,16,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,6,WARAMINI,NP,,,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,7,EGYPTIAN GLORY,PARTANT,"6,4","6,7",,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,8,INCENTIVE VICTORY,PARTANT,13,13,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,9,VASUMATI,PARTANT,22,23,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,10,FLASH GIRL,PARTANT,21,20,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,11,RUE RECAMIER,PARTANT,12,12,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,12,EXTRAVAGANTE,PARTANT,21,22,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,13,THE LITTLE SWAN,PARTANT,20,21,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,14,AU DELA DES MERS,PARTANT,16,16,,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,15,MISTER BLACK,PARTANT,"4,4","4,5",,pmu,2026-07-07 14:27
2026-07-07,R1,C8,CHANTILLY,LE ROI SOLEIL,PLAT,18:30,16,WARHOLM,PARTANT,30,31,,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,1,LUCKY DELCO,PARTANT,15,21,,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,2,LEGENDE DE TALA,PARTANT,"3,2","3,4",,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,3,LARS DE LUJO,PARTANT,"5,7","7,3",,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,4,MYSTERE D'ERPION,PARTANT,"7,1","4,6",,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,5,LORD OF JACK,PARTANT,26,40,,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,6,MISS TRAFO,PARTANT,"9,1",10,,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,7,LA LILLOISE,PARTANT,18,26,,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,8,LILA D'ERPION,PARTANT,"8,5","6,3",,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,9,JASMIN DE NAVARY,PARTANT,44,72,,pmu,2026-07-07 14:27
2026-07-07,R2,C1,TONGRES,LETROT.COM,ATTELE,11:36,10,MONSTER DU MONCEL,PARTANT,"7,5",7,,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,1,NADAL SLIPPER,PARTANT,41,111,,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,2,LEGENDE DU BERRE,PARTANT,37,63,,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,3,NORTH SHORE,PARTANT,17,16,,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,4,LOVE D'ERPION,PARTANT,"8,3","5,2",,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,5,KARLO D,PARTANT,12,13,,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,6,OH SJ'S LOVER,PARTANT,"1,9","3,7",,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,7,SIMCO,PARTANT,22,23,,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,8,MISS J.P.D'AVEL,PARTANT,13,"9,8",,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,9,LERMINIG OLIVERIE,PARTANT,34,53,,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,10,MARINO PONT ROYAL,PARTANT,"5,6","2,7",,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,11,NEMO D'OR ST,NP,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C2,TONGRES,DU TOUQUET,ATTELE,12:08,12,OLYMPIC UP,PARTANT,45,72,,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,1,J'ATTENDS LOSEILLE,PARTANT,40,86,,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,2,PERFECT ONE,PARTANT,"3,9","3,5",,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,3,HARAS DANOVER,PARTANT,"8,1",13,,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,4,SAM PIERJI,PARTANT,10,13,,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,5,FLASH DE DUFFEL,PARTANT,30,55,,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,6,GOLDEN DE JANA,PARTANT,17,28,,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,7,NOX DE SPAGNIE,PARTANT,15,19,,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,8,MYRTHE DES BOIS,PARTANT,"3,1","2,4",,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,9,GRANDE MALICE,PARTANT,33,38,,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,10,ISIDORE BONHEUR,PARTANT,51,90,,pmu,2026-07-07 14:27
2026-07-07,R2,C3,TONGRES,D'ABBEVILLE,ATTELE,12:40,11,NICE PRESENT,PARTANT,"6,8",6,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,1,SANG ROYAL REYSHOF,PARTANT,34,29,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,2,RATINA HOUBLONNIER,PARTANT,42,98,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,3,MAYDAYMAYDAY,PARTANT,"8,5",6,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,4,HASTALUEGO DU GEER TF,PARTANT,40,125,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,5,ROY,PARTANT,33,95,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,6,MUNGIA D'IRATY,PARTANT,23,104,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,7,SPEEDRIDER DE YH,PARTANT,29,33,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,8,PEGASUS MJ,PARTANT,17,44,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,9,RITE ON LINE  E,PARTANT,43,116,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,10,POKER FACE,PARTANT,29,44,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,11,JAGUAR DANOVER,PARTANT,13,"8,9",,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,12,OVERLORD,PARTANT,44,84,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,13,JIMINY,PARTANT,82,84,,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,14,TORONTO MATIC,PARTANT,"1,6","1,5",,pmu,2026-07-07 14:27
2026-07-07,R2,C4,TONGRES,DE REIMS,ATTELE,13:14,15,SUPRÊME DU JOUR,PARTANT,22,18,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,1,GRINGO DE CHATNAY,PARTANT,35,81,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,2,PAVILLON,PARTANT,23,23,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,3,SUSKE VANHALBEEK,PARTANT,33,82,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,4,MISTER VALENTINE,PARTANT,34,53,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,5,OLYMPUS STEEL,PARTANT,20,36,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,6,REALITY MOM,PARTANT,"1,3","1,4",,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,7,NIKSKE SLIPPER,PARTANT,29,47,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,8,HELLO CHARLY,PARTANT,83,94,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,9,POULIN D'OR SH,PARTANT,21,25,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,10,NOBLE D'OR,PARTANT,162,86,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,11,KATTEJAMMER CASH,PARTANT,74,79,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,12,MAC POWER,PARTANT,12,7,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,13,VIKENS CASHFLOW,PARTANT,296,160,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,14,PLACEYOURBET SB,PARTANT,15,10,,pmu,2026-07-07 14:27
2026-07-07,R2,C5,TONGRES,D'ARRAS,ATTELE,13:46,15,TOEKY BOUM,PARTANT,77,104,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,1,LADY GES,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,2,JARLY DE DUFFEL,NP,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,3,JAGER OVER,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,4,STAR LA VARENNE,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,5,LANA FONTAINE,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,6,MIRACULEE D'OCQUE,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,7,TRESOR DE HAMAL,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,8,LARSEN DU BELLAY,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,9,JACK'S GRAUX,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,10,TREK,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,11,TRES BELLE JP,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C6,TONGRES,DE LA CAPELLE,ATTELE,14:16,12,NELLY CROWN,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C7,TONGRES,D'AMIENS,ATTELE,14:46,1,LAURA DE MUZE,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C7,TONGRES,D'AMIENS,ATTELE,14:46,2,SERANA S,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C7,TONGRES,D'AMIENS,ATTELE,14:46,3,TECH NICKIE,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C7,TONGRES,D'AMIENS,ATTELE,14:46,4,RAY CHARLY DG,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C7,TONGRES,D'AMIENS,ATTELE,14:46,5,KHOL SMART,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C7,TONGRES,D'AMIENS,ATTELE,14:46,6,LUCKY DE LA VALLEE,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C7,TONGRES,D'AMIENS,ATTELE,14:46,7,TEXAS DU CALVAIRE,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C7,TONGRES,D'AMIENS,ATTELE,14:46,8,LET'S GO D'AVRAN,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C8,TONGRES,CROISE-LAROCHE,ATTELE,15:15,1,NAPINE DIESCHOOT,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C8,TONGRES,CROISE-LAROCHE,ATTELE,15:15,2,MANILLA CALVAIRE,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C8,TONGRES,CROISE-LAROCHE,ATTELE,15:15,3,NIMBUS KAIROS,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C8,TONGRES,CROISE-LAROCHE,ATTELE,15:15,4,NEFERTITI AWAGNE,PARTANT,,,,pmu,2026-07-07 14:27
2026-07-07,R2,C8,TONGRES,CROISE-LAROCHE,ATTELE,15:15,5,UNION EXPRESS,PARTANT,,,,pmu,2026-07-07 14:27
